7	1	1	1	1	0.0000	0.0000	0.0100	0.0628	0	0.1044	0.2160	2.8822	1.5937	2.7777	1.3777	2	1	0	8.268913
7	1	2	2	1	0.0000	0.0000	0.0100	0.0628	0	0.0351	0.1355	-2.6311	0.2092	-2.6662	0.0737	2	-1	1	4.165884
7	1	3	3	1	0.0000	0.0000	0.0100	0.0628	0	-0.0205	0.2897	-0.7584	0.1911	-0.7379	-0.0987	1	1	1	7.040925
7	1	4	4	1	0.0000	0.0000	0.0100	0.0628	0	-0.0072	0.2215	-2.9160	0.4569	-2.9088	0.2354	1	1	1	1.772426
7	1	5	5	1	0.0000	0.0000	0.0100	0.0628	0	-0.0553	0.3429	0.3187	0.7456	0.3739	0.4027	1	-1	0	1.454081
7	1	6	6	1	0.0000	0.0000	0.0100	0.0628	0	0.0649	-0.1251	-2.9836	0.8353	-3.0485	0.9604	1	-1	0	2.215442
7	1	7	7	1	0.0000	0.0000	0.0100	0.0628	0	-0.0197	-0.3403	-2.7182	0.5685	-2.6985	0.9088	2	-1	1	1.688050
7	1	8	8	1	0.0000	0.0000	0.0100	0.0628	0	-0.1730	0.2853	2.6832	0.6268	2.8562	0.3416	1	1	1	1.074687
7	1	9	9	1	0.0000	0.0000	0.0100	0.0628	0	0.1550	0.2041	-0.6422	1.1213	-0.7972	0.9172	2	-1	1	1.469859
7	1	10	10	1	0.0000	0.0000	0.0100	0.0628	0	-0.0308	0.8051	-0.3734	0.7605	-0.3425	-0.0446	2	-1	1	2.449758
7	1	11	11	1	0.0000	0.0000	0.0100	0.0628	0	0.1703	-0.1254	-2.7661	1.0750	-2.9364	1.2004	2	-1	1	1.161996
7	1	12	12	1	0.0000	0.0000	0.0100	0.0628	0	-0.0846	0.4125	2.9987	1.0252	3.0832	0.6126	2	-1	1	1.452753
7	1	13	13	1	0.0000	0.0000	0.0100	0.0628	0	0.0204	0.3316	-3.0112	0.4491	-3.0316	0.1175	1	1	1	2.751601
7	1	14	14	1	0.0000	0.0000	0.0100	0.0628	0	-0.0957	-0.2240	-2.1886	0.3403	-2.0928	0.5643	2	1	0	1.300589
7	1	15	15	1	0.0000	0.0000	0.0100	0.0628	0	-0.0543	-0.0003	-1.3649	1.1783	-1.3106	1.1787	2	1	0	1.227461
7	1	16	16	1	0.0000	0.0000	0.0100	0.0628	0	0.0830	-0.2730	-2.7442	0.6413	-2.8272	0.9143	1	-1	0	1.142178
7	1	17	17	1	0.0000	0.0000	0.0100	0.0628	0	0.0223	-0.1908	-0.7595	0.9966	-0.7818	1.1874	2	-1	1	1.757107
7	1	18	18	1	0.0000	0.0000	0.0100	0.0628	0	-0.0176	-0.1822	-1.2586	1.2120	-1.2409	1.3943	1	-1	0	1.286894
7	1	19	19	1	0.0000	0.0000	0.0100	0.0628	0	-0.0059	0.1566	-0.9340	0.8717	-0.9281	0.7151	1	1	1	1.600412
7	1	20	20	1	0.0000	0.0000	0.0100	0.0628	0	-0.1837	0.3174	-2.5484	0.7836	-2.3647	0.4661	2	1	0	1.152849
7	1	20	20	1	0.0000	0.0000	0.0000	0.0000	10	0.0000	0.0000	-0.1562	0.9385	0.0000	0.0000	0	0	2	5.489156
7	2	1	21	3	0.4625	4.3982	0.0600	0.3770	0	0.4326	4.0416	0.5187	3.7405	0.0861	-0.3012	2	-1	1	1.278720
7	2	2	22	3	0.4625	4.3982	0.0600	0.3770	0	0.4444	4.0364	0.4085	3.4920	-0.0360	-0.5443	1	-1	0	2.526616
7	2	3	23	3	0.4625	4.3982	0.0600	0.3770	0	0.6096	4.2351	0.5913	3.6667	-0.0183	-0.5684	1	-1	0	0.971901
7	2	3	23	3	0.0000	0.0000	0.0000	0.0000	1	0.0000	0.0000	0.6547	3.7642	0.0000	0.0000	0	0	2	1.851151
7	2	4	24	3	0.4625	4.3982	0.0600	0.3770	0	0.5748	4.1738	0.7435	3.8180	0.1687	-0.3558	1	1	1	7.223278
7	2	5	25	3	0.4625	4.3982	0.0600	0.3770	0	0.3592	4.2444	0.0246	4.1550	-0.3346	-0.0894	2	-1	1	0.806284
7	2	6	26	3	0.4625	4.3982	0.0600	0.3770	0	0.8539	4.6265	0.5117	3.8764	-0.3423	-0.7501	1	-1	0	1.258989
7	2	6	26	3	0.0000	0.0000	0.0000	0.0000	5	0.0000	0.0000	-0.1431	4.4032	0.0000	0.0000	0	0	2	4.237257
7	2	7	27	3	0.4625	4.3982	0.0600	0.3770	0	0.2163	3.8344	-0.0739	4.1505	-0.2902	0.3161	2	1	0	1.655448
7	2	8	28	3	0.4625	4.3982	0.0600	0.3770	0	0.4686	4.2091	0.2977	4.1311	-0.1709	-0.0780	1	-1	0	0.998612
7	2	9	29	3	0.4625	4.3982	0.0600	0.3770	0	0.8780	4.4559	0.6889	3.6977	-0.1891	-0.7582	1	-1	0	0.875309
7	2	9	29	3	0.0000	0.0000	0.0000	0.0000	1	0.0000	0.0000	0.8888	4.2504	0.0000	0.0000	0	0	2	3.344515
7	2	10	30	3	0.4625	4.3982	0.0600	0.3770	0	0.4124	3.6796	-0.3305	4.4994	-0.7429	0.8199	2	-1	1	2.114733
7	2	11	31	3	0.4625	4.3982	0.0600	0.3770	0	0.4174	5.2852	0.3973	4.6788	-0.0201	-0.6064	1	-1	0	0.870849
7	2	12	32	3	0.4625	4.3982	0.0600	0.3770	0	0.8068	4.9122	0.6457	4.7071	-0.1612	-0.2050	2	-1	1	0.928539
7	2	12	32	3	0.0000	0.0000	0.0000	0.0000	5	0.0000	0.0000	0.8069	4.5694	0.0000	0.0000	0	0	2	3.442230
